1DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME (Year),DIM_SEX,VALUE_NUMERIC (%),VALUE_NUMERIC_LOWER (%),VALUE_NUMERIC_UPPER (%)
780,Trinidad and Tobago,1988,Male,3.40,2.84,3.97
788,Tunisia,1988,Total,6.06,5.39,6.85
788,Tunisia,1988,Female,5.70,5.04,6.47
788,Tunisia,1988,Male,6.41,5.68,7.26
792,Türkiye,1988,Total,8.33,7.79,8.91
792,Türkiye,1988,Female,8.05,7.50,8.65
792,Türkiye,1988,Male,8.60,8.02,9.23
798,Tuvalu,1988,Total,5.37,4.43,6.51
798,Tuvalu,1988,Female,4.93,4.04,6.02
798,Tuvalu,1988,Male,5.79,4.75,7.07
834,United Republic of Tanzania,1988,Total,17.17,16.15,18.28
834,United Republic of Tanzania,1988,Female,16.54,15.50,17.65
834,United Republic of Tanzania,1988,Male,17.78,16.68,18.94
800,Uganda,1988,Total,18.93,17.81,20.11
800,Uganda,1988,Female,17.68,16.60,18.83
800,Uganda,1988,Male,20.11,18.89,21.39
804,Ukraine,1988,Total,1.99,1.77,2.26
804,Ukraine,1988,Female,1.76,1.56,2.03
804,Ukraine,1988,Male,2.19,1.95,2.51
858,Uruguay,1988,Total,2.50,2.45,2.55
858,Uruguay,1988,Female,2.22,2.16,2.28
858,Uruguay,1988,Male,2.77,2.70,2.84
840,United States of America,1988,Total,1.19,1.17,1.21
840,United States of America,1988,Female,1.05,1.04,1.07
840,United States of America,1988,Male,1.31,1.29,1.34
860,Uzbekistan,1988,Total,7.31,6.49,8.23
860,Uzbekistan,1988,Female,6.43,5.67,7.27
860,Uzbekistan,1988,Male,8.16,7.21,9.21
670,Saint Vincent and the Grenadines,1988,Total,2.60,2.44,2.77
670,Saint Vincent and the Grenadines,1988,Female,2.40,2.24,2.59
670,Saint Vincent and the Grenadines,1988,Male,2.79,2.60,2.99
862,Venezuela (Bolivarian Republic of),1988,Total,3.23,3.06,3.40
862,Venezuela (Bolivarian Republic of),1988,Female,2.90,2.74,3.06
862,Venezuela (Bolivarian Republic of),1988,Male,3.53,3.35,3.73
92,British Virgin Islands,1988,Total,2.06,1.73,2.46
92,British Virgin Islands,1988,Female,1.81,1.52,2.17
92,British Virgin Islands,1988,Male,2.29,1.93,2.74
704,Viet Nam,1988,Total,5.64,5.18,6.14
704,Viet Nam,1988,Female,4.76,4.35,5.21
704,Viet Nam,1988,Male,6.48,5.94,7.07
548,Vanuatu,1988,Total,3.97,3.31,4.75
548,Vanuatu,1988,Female,3.66,3.02,4.42
548,Vanuatu,1988,Male,4.25,3.53,5.14
882,Samoa,1988,Total,3.18,2.78,3.66
882,Samoa,1988,Female,2.89,2.50,3.33
882,Samoa,1988,Male,3.46,3.01,4.00
887,Yemen,1988,Total,13.54,12.69,14.44
887,Yemen,1988,Female,12.93,12.10,13.83
887,Yemen,1988,Male,14.10,13.20,15.08
710,South Africa,1988,Total,6.62,5.95,7.34
710,South Africa,1988,Female,6.07,5.42,6.76
710,South Africa,1988,Male,7.14,6.39,7.94
894,Zambia,1988,Total,17.89,16.77,19.08
894,Zambia,1988,Female,17.06,15.97,18.25
894,Zambia,1988,Male,18.67,17.47,19.97
716,Zimbabwe,1988,Total,7.52,6.88,8.20
716,Zimbabwe,1988,Female,6.83,6.23,7.50
716,Zimbabwe,1988,Male,8.17,7.45,8.93
4,Afghanistan,1989,Total,18.49,16.87,20.26
4,Afghanistan,1989,Female,18.07,16.45,19.85
4,Afghanistan,1989,Male,18.88,17.19,20.76
24,Angola,1989,Total,22.37,19.85,25.21
24,Angola,1989,Female,21.21,18.78,23.97
24,Angola,1989,Male,23.46,20.80,26.48
660,Anguilla,1989,Total,1.78,1.23,2.58
660,Anguilla,1989,Female,1.70,1.17,2.46
660,Anguilla,1989,Male,1.87,1.29,2.70
8,Albania,1989,Total,4.28,3.81,4.82
8,Albania,1989,Female,3.83,3.38,4.34
8,Albania,1989,Male,4.71,4.17,5.33
20,Andorra,1989,Total,1.39,0.31,5.71
20,Andorra,1989,Female,1.13,0.25,4.68
20,Andorra,1989,Male,1.63,0.37,6.72
784,United Arab Emirates,1989,Total,1.75,1.49,2.06
784,United Arab Emirates,1989,Female,1.53,1.29,1.81
784,United Arab Emirates,1989,Male,1.96,1.66,2.31
32,Argentina,1989,Total,2.89,2.84,2.95
32,Argentina,1989,Female,2.58,2.52,2.63
32,Argentina,1989,Male,3.20,3.13,3.26
51,Armenia,1989,Total,5.11,4.64,5.63
51,Armenia,1989,Female,4.59,4.13,5.08
51,Armenia,1989,Male,5.60,5.05,6.21
28,Antigua and Barbuda,1989,Total,1.38,1.22,1.57
28,Antigua and Barbuda,1989,Female,1.26,1.10,1.44
28,Antigua and Barbuda,1989,Male,1.50,1.31,1.72
36,Australia,1989,Total,0.97,0.95,0.99
36,Australia,1989,Female,0.85,0.83,0.87
36,Australia,1989,Male,1.09,1.06,1.11
40,Austria,1989,Total,0.99,0.97,1.02
40,Austria,1989,Female,0.88,0.85,0.91
40,Austria,1989,Male,1.11,1.07,1.14
31,Azerbaijan,1989,Total,9.57,8.65,10.55
31,Azerbaijan,1989,Female,8.97,8.05,9.94
31,Azerbaijan,1989,Male,10.14,9.13,11.24
108,Burundi,1989,Total,16.91,15.22,18.73
108,Burundi,1989,Female,16.09,14.43,17.89
108,Burundi,1989,Male,17.70,15.91,19.66
56,Belgium,1989,Total,1.03,1.01,1.06
56,Belgium,1989,Female,0.89,0.86,0.91
56,Belgium,1989,Male,1.17,1.14,1.20
204,Benin,1989,Total,17.67,16.64,18.77
204,Benin,1989,Female,16.88,15.85,17.98
204,Benin,1989,Male,18.42,17.29,19.61
854,Burkina Faso,1989,Total,20.06,18.76,21.48
854,Burkina Faso,1989,Female,19.26,18.00,20.67
854,Burkina Faso,1989,Male,20.82,19.45,22.35
50,Bangladesh,1989,Total,15.22,14.75,15.71
50,Bangladesh,1989,Female,14.87,14.35,15.39
50,Bangladesh,1989,Male,15.56,15.03,16.10
100,Bulgaria,1989,Total,1.79,1.75,1.83
100,Bulgaria,1989,Female,1.57,1.53,1.62
100,Bulgaria,1989,Male,2.00,1.95,2.05
48,Bahrain,1989,Total,2.32,2.24,2.40
48,Bahrain,1989,Female,2.25,2.15,2.35
48,Bahrain,1989,Male,2.39,2.29,2.49
44,Bahamas,1989,Total,2.46,2.34,2.58
44,Bahamas,1989,Female,2.27,2.14,2.41
44,Bahamas,1989,Male,2.63,2.49,2.78
70,Bosnia and Herzegovina,1989,Total,1.96,1.92,2.00
70,Bosnia and Herzegovina,1989,Female,1.74,1.69,1.79
70,Bosnia and Herzegovina,1989,Male,2.17,2.11,2.23
112,Belarus,1989,Total,1.55,1.51,1.58
112,Belarus,1989,Female,1.31,1.28,1.35
112,Belarus,1989,Male,1.77,1.73,1.81
84,Belize,1989,Total,4.09,3.58,4.69
84,Belize,1989,Female,3.69,3.21,4.25
84,Belize,1989,Male,4.47,3.90,5.15
68,Bolivia (Plurinational State of),1989,Total,12.63,11.96,13.34
68,Bolivia (Plurinational State of),1989,Female,11.99,11.30,12.69
68,Bolivia (Plurinational State of),1989,Male,13.25,12.52,14.03
76,Brazil,1989,Total,6.59,6.13,7.08
76,Brazil,1989,Female,5.96,5.49,6.46
76,Brazil,1989,Male,7.19,6.65,7.76
52,Barbados,1989,Total,1.89,1.78,2.01
52,Barbados,1989,Female,1.71,1.59,1.83
52,Barbados,1989,Male,2.07,1.93,2.21
96,Brunei Darussalam,1989,Total,1.33,1.26,1.42
96,Brunei Darussalam,1989,Female,1.22,1.14,1.30
96,Brunei Darussalam,1989,Male,1.45,1.36,1.54
64,Bhutan,1989,Total,13.25,11.69,15.26
64,Bhutan,1989,Female,12.77,11.21,14.79
64,Bhutan,1989,Male,13.71,12.03,15.80
72,Botswana,1989,Total,4.51,3.71,5.63
72,Botswana,1989,Female,4.06,3.32,5.09
72,Botswana,1989,Male,4.94,4.04,6.18
140,Central African Republic,1989,Total,17.80,16.04,19.75
140,Central African Republic,1989,Female,16.96,15.26,18.86
140,Central African Republic,1989,Male,18.58,16.71,20.64
124,Canada,1989,Total,0.85,0.84,0.87
124,Canada,1989,Female,0.76,0.74,0.77
124,Canada,1989,Male,0.95,0.93,0.97
756,Switzerland,1989,Total,0.84,0.82,0.87
756,Switzerland,1989,Female,0.74,0.72,0.77
756,Switzerland,1989,Male,0.94,0.91,0.97
152,Chile,1989,Total,2.04,1.99,2.09
152,Chile,1989,Female,1.83,1.78,1.88
152,Chile,1989,Male,2.24,2.18,2.30
156,China,1989,Total,5.39,4.93,5.89
156,China,1989,Female,5.17,4.71,5.69
156,China,1989,Male,5.59,5.10,6.15
384,Côte d'Ivoire,1989,Total,15.30,14.25,16.43
384,Côte d'Ivoire,1989,Female,14.03,13.01,15.11
384,Côte d'Ivoire,1989,Male,16.51,15.34,17.77
120,Cameroon,1989,Total,13.58,12.64,14.63
120,Cameroon,1989,Female,12.75,11.82,13.78
120,Cameroon,1989,Male,14.38,13.34,15.52
180,Democratic Republic of the Congo,1989,Total,18.86,16.93,20.83
180,Democratic Republic of the Congo,1989,Female,18.07,16.22,20.00
180,Democratic Republic of the Congo,1989,Male,19.60,17.57,21.70
178,Congo,1989,Total,9.03,7.93,10.29
178,Congo,1989,Female,8.45,7.38,9.67
178,Congo,1989,Male,9.58,8.39,10.94
184,Cook Islands,1989,Total,2.40,2.17,2.67
184,Cook Islands,1989,Female,2.29,2.03,2.56
184,Cook Islands,1989,Male,2.51,2.25,2.81
170,Colombia,1989,Total,3.68,3.43,3.95
170,Colombia,1989,Female,3.27,3.04,3.53
170,Colombia,1989,Male,4.07,3.77,4.38
174,Comoros,1989,Total,13.06,11.65,14.49
174,Comoros,1989,Female,12.46,11.05,13.92
174,Comoros,1989,Male,13.61,12.09,15.20
132,Cabo Verde,1989,Total,6.32,6.08,6.57
132,Cabo Verde,1989,Female,5.86,5.61,6.12
132,Cabo Verde,1989,Male,6.76,6.47,7.05
188,Costa Rica,1989,Total,1.78,1.74,1.81
188,Costa Rica,1989,Female,1.56,1.52,1.60
188,Costa Rica,1989,Male,1.98,1.93,2.03
192,Cuba,1989,Total,1.42,1.29,1.56
192,Cuba,1989,Female,1.23,1.11,1.35
192,Cuba,1989,Male,1.61,1.45,1.77
196,Cyprus,1989,Total,1.12,1.06,1.19
196,Cyprus,1989,Female,1.01,0.94,1.08
196,Cyprus,1989,Male,1.23,1.15,1.31
203,Czechia,1989,Total,1.26,1.23,1.28
203,Czechia,1989,Female,1.09,1.05,1.13
203,Czechia,1989,Male,1.42,1.37,1.46
276,Germany,1989,Total,0.90,0.89,0.92
276,Germany,1989,Female,0.78,0.76,0.80
276,Germany,1989,Male,1.02,1.00,1.04
262,Djibouti,1989,Total,12.04,10.32,13.99
262,Djibouti,1989,Female,11.22,9.56,13.13
262,Djibouti,1989,Male,12.81,10.94,14.94
212,Dominica,1989,Total,1.67,1.57,1.78
212,Dominica,1989,Female,1.55,1.44,1.67
212,Dominica,1989,Male,1.79,1.66,1.92
208,Denmark,1989,Total,0.93,0.90,0.97
208,Denmark,1989,Female,0.81,0.78,0.85
208,Denmark,1989,Male,1.05,1.01,1.09
214,Dominican Republic,1989,Total,6.20,5.81,6.62
214,Dominican Republic,1989,Female,5.73,5.34,6.15
214,Dominican Republic,1989,Male,6.65,6.22,7.12
12,Algeria,1989,Total,5.31,4.96,5.65
12,Algeria,1989,Female,4.87,4.54,5.20
12,Algeria,1989,Male,5.73,5.34,6.11
218,Ecuador,1989,Total,5.67,5.11,6.29
218,Ecuador,1989,Female,5.09,4.55,5.68
218,Ecuador,1989,Male,6.22,5.58,6.92
818,Egypt,1989,Total,9.03,8.59,9.49
818,Egypt,1989,Female,9.06,8.60,9.55
818,Egypt,1989,Male,9.00,8.55,9.48
232,Eritrea,1989,Total,15.93,14.61,17.46
232,Eritrea,1989,Female,14.42,13.17,15.83
232,Eritrea,1989,Male,17.39,15.88,19.04
724,Spain,1989,Total,0.95,0.94,0.97
724,Spain,1989,Female,0.85,0.83,0.87
724,Spain,1989,Male,1.05,1.03,1.07
233,Estonia,1989,Total,1.78,1.72,1.84
233,Estonia,1989,Female,1.54,1.48,1.61
233,Estonia,1989,Male,2.01,1.93,2.09
231,Ethiopia,1989,Total,20.52,19.06,22.09
231,Ethiopia,1989,Female,19.20,17.79,20.72
231,Ethiopia,1989,Male,21.79,20.20,23.50
246,Finland,1989,Total,0.69,0.67,0.72
246,Finland,1989,Female,0.62,0.59,0.65
246,Finland,1989,Male,0.76,0.74,0.80
242,Fiji,1989,Total,3.02,2.59,3.51
242,Fiji,1989,Female,2.80,2.39,3.26
242,Fiji,1989,Male,3.23,2.76,3.76
250,France,1989,Total,0.93,0.91,0.95
250,France,1989,Female,0.79,0.78,0.81
250,France,1989,Male,1.06,1.04,1.08
583,Micronesia (Federated States of),1989,Total,5.05,4.22,6.09
583,Micronesia (Federated States of),1989,Female,4.44,3.67,5.38
583,Micronesia (Federated States of),1989,Male,5.65,4.69,6.80
266,Gabon,1989,Total,9.40,8.12,10.81
266,Gabon,1989,Female,8.65,7.45,9.97
266,Gabon,1989,Male,10.10,8.68,11.66
826,United Kingdom of Great Britain and Northern Ireland,1989,Total,0.99,0.97,1.01
826,United Kingdom of Great Britain and Northern Ireland,1989,Female,0.86,0.84,0.88
826,United Kingdom of Great Britain and Northern Ireland,1989,Male,1.11,1.08,1.14
268,Georgia,1989,Total,4.82,4.31,5.38
268,Georgia,1989,Female,4.25,3.75,4.79
268,Georgia,1989,Male,5.36,4.76,6.00
288,Ghana,1989,Total,13.28,12.56,14.03
288,Ghana,1989,Female,12.44,11.73,13.21
288,Ghana,1989,Male,14.07,13.26,14.91
324,Guinea,1989,Total,23.82,22.25,25.50
324,Guinea,1989,Female,23.01,21.46,24.67
324,Guinea,1989,Male,24.57,22.94,26.33
270,Gambia,1989,Total,17.24,15.61,19.13
270,Gambia,1989,Female,16.24,14.65,18.04
270,Gambia,1989,Male,18.17,16.42,20.25
624,Guinea-Bissau,1989,Total,22.69,20.25,25.51
624,Guinea-Bissau,1989,Female,21.60,19.21,24.33
624,Guinea-Bissau,1989,Male,23.74,21.17,26.77
226,Equatorial Guinea,1989,Total,18.00,15.80,20.16
226,Equatorial Guinea,1989,Female,17.06,14.87,19.22
226,Equatorial Guinea,1989,Male,18.87,16.54,21.26
300,Greece,1989,Total,1.11,1.08,1.14
300,Greece,1989,Female,1.01,0.98,1.04
300,Greece,1989,Male,1.20,1.16,1.24
308,Grenada,1989,Total,2.35,2.19,2.54
308,Grenada,1989,Female,2.19,2.02,2.38
308,Grenada,1989,Male,2.51,2.31,2.72
320,Guatemala,1989,Total,8.41,7.90,8.95
320,Guatemala,1989,Female,7.81,7.31,8.34
320,Guatemala,1989,Male,8.98,8.41,9.58
328,Guyana,1989,Total,6.23,5.61,6.93
328,Guyana,1989,Female,5.49,4.92,6.14
328,Guyana,1989,Male,6.93,6.23,7.74
340,Honduras,1989,Total,6.12,5.66,6.60
340,Honduras,1989,Female,5.55,5.09,6.02
340,Honduras,1989,Male,6.67,6.14,7.23
191,Croatia,1989,Total,1.37,1.34,1.41
191,Croatia,1989,Female,1.19,1.15,1.23
191,Croatia,1989,Male,1.55,1.50,1.60
332,Haiti,1989,Total,14.90,13.95,15.94
332,Haiti,1989,Female,13.99,13.05,15.04
332,Haiti,1989,Male,15.77,14.71,16.92
348,Hungary,1989,Total,1.76,1.72,1.81
348,Hungary,1989,Female,1.56,1.52,1.61
348,Hungary,1989,Male,1.95,1.89,2.00
360,Indonesia,1989,Total,8.77,8.37,9.21
360,Indonesia,1989,Female,8.09,7.70,8.53
360,Indonesia,1989,Male,9.42,8.96,9.91
356,India,1989,Total,13.03,12.59,13.49
356,India,1989,Female,13.43,12.95,13.95
356,India,1989,Male,12.64,12.18,13.11
372,Ireland,1989,Total,0.96,0.93,1.00
372,Ireland,1989,Female,0.85,0.82,0.89
372,Ireland,1989,Male,1.06,1.02,1.11
364,Iran (Islamic Republic of),1989,Total,6.05,5.57,6.58
364,Iran (Islamic Republic of),1989,Female,6.04,5.55,6.60
364,Iran (Islamic Republic of),1989,Male,6.06,5.56,6.61
368,Iraq,1989,Total,5.51,5.02,6.03
368,Iraq,1989,Female,5.11,4.64,5.63
368,Iraq,1989,Male,5.90,5.35,6.47
352,Iceland,1989,Total,0.66,0.60,0.72
352,Iceland,1989,Female,0.61,0.55,0.67
352,Iceland,1989,Male,0.71,0.64,0.78
376,Israel,1989,Total,1.21,1.18,1.23
376,Israel,1989,Female,1.13,1.10,1.16
376,Israel,1989,Male,1.28,1.25,1.31
380,Italy,1989,Total,1.00,0.98,1.02
380,Italy,1989,Female,0.90,0.88,0.92
380,Italy,1989,Male,1.09,1.07,1.12
388,Jamaica,1989,Total,2.88,2.45,3.37
388,Jamaica,1989,Female,2.47,2.08,2.91
388,Jamaica,1989,Male,3.28,2.78,3.84
400,Jordan,1989,Total,3.73,3.48,3.98
400,Jordan,1989,Female,3.50,3.26,3.77
400,Jordan,1989,Male,3.94,3.67,4.23
392,Japan,1989,Total,0.65,0.63,0.66
392,Japan,1989,Female,0.59,0.57,0.60
392,Japan,1989,Male,0.70,0.69,0.72
398,Kazakhstan,1989,Total,5.26,4.80,5.78
398,Kazakhstan,1989,Female,4.58,4.13,5.06
398,Kazakhstan,1989,Male,5.91,5.36,6.53
404,Kenya,1989,Total,9.94,9.33,10.60
404,Kenya,1989,Female,9.35,8.73,9.99
404,Kenya,1989,Male,10.51,9.84,11.23
417,Kyrgyzstan,1989,Total,6.59,5.81,7.47
417,Kyrgyzstan,1989,Female,5.97,5.23,6.82
417,Kyrgyzstan,1989,Male,7.17,6.30,8.15
116,Cambodia,1989,Total,11.63,10.75,12.56
116,Cambodia,1989,Female,10.78,9.93,11.68
116,Cambodia,1989,Male,12.43,11.48,13.44
296,Kiribati,1989,Total,9.53,8.41,10.86
296,Kiribati,1989,Female,8.89,7.80,10.16
296,Kiribati,1989,Male,10.13,8.91,11.57
659,Saint Kitts and Nevis,1989,Total,3.13,2.84,3.44
659,Saint Kitts and Nevis,1989,Female,2.81,2.53,3.11
659,Saint Kitts and Nevis,1989,Male,3.44,3.10,3.80
410,Republic of Korea,1989,Total,1.70,1.61,1.80
410,Republic of Korea,1989,Female,1.56,1.46,1.66
410,Republic of Korea,1989,Male,1.84,1.73,1.96
414,Kuwait,1989,Total,1.75,1.70,1.80
414,Kuwait,1989,Female,1.60,1.55,1.66
414,Kuwait,1989,Male,1.89,1.83,1.95
418,Lao People's Democratic Republic,1989,Total,15.92,14.60,17.38
418,Lao People's Democratic Republic,1989,Female,15.02,13.70,16.47
418,Lao People's Democratic Republic,1989,Male,16.78,15.33,18.37
422,Lebanon,1989,Total,3.39,3.03,3.79
422,Lebanon,1989,Female,3.22,2.86,3.62
422,Lebanon,1989,Male,3.54,3.15,3.98
430,Liberia,1989,Total,25.95,23.92,28.19
430,Liberia,1989,Female,24.47,22.46,26.68
430,Liberia,1989,Male,27.35,25.12,29.77
434,Libya,1989,Total,4.41,3.74,5.19
434,Libya,1989,Female,4.04,3.41,4.75
434,Libya,1989,Male,4.77,4.04,5.61
662,Saint Lucia,1989,Total,2.25,2.14,2.35
662,Saint Lucia,1989,Female,2.02,1.91,2.14
662,Saint Lucia,1989,Male,2.46,2.33,2.59
144,Sri Lanka,1989,Total,2.71,2.65,2.76
144,Sri Lanka,1989,Female,2.51,2.45,2.57
144,Sri Lanka,1989,Male,2.89,2.83,2.96
426,Lesotho,1989,Total,8.60,7.76,9.59
426,Lesotho,1989,Female,7.86,7.06,8.79
426,Lesotho,1989,Male,9.31,8.38,10.41
440,Lithuania,1989,Total,1.41,1.35,1.46
440,Lithuania,1989,Female,1.24,1.19,1.30
440,Lithuania,1989,Male,1.56,1.50,1.63
442,Luxembourg,1989,Total,0.94,0.86,1.01
442,Luxembourg,1989,Female,0.83,0.76,0.91
442,Luxembourg,1989,Male,1.03,0.95,1.12
428,Latvia,1989,Total,1.58,1.52,1.64
428,Latvia,1989,Female,1.37,1.31,1.44
428,Latvia,1989,Male,1.78,1.70,1.85
504,Morocco,1989,Total,8.45,7.87,9.07
504,Morocco,1989,Female,7.95,7.37,8.58
504,Morocco,1989,Male,8.92,8.29,9.62
492,Monaco,1989,Total,0.81,0.71,0.93
492,Monaco,1989,Female,0.72,0.63,0.83
492,Monaco,1989,Male,0.90,0.79,1.03
498,Republic of Moldova,1989,Total,3.38,2.92,3.90
498,Republic of Moldova,1989,Female,2.98,2.56,3.48
498,Republic of Moldova,1989,Male,3.76,3.24,4.36
450,Madagascar,1989,Total,16.14,15.07,17.27
450,Madagascar,1989,Female,15.35,14.30,16.47
450,Madagascar,1989,Male,16.88,15.73,18.08
462,Maldives,1989,Total,9.06,8.26,9.98
462,Maldives,1989,Female,8.44,7.62,9.35
462,Maldives,1989,Male,9.66,8.76,10.69
484,Mexico,1989,Total,4.75,4.42,5.11
484,Mexico,1989,Female,4.36,4.02,4.71
484,Mexico,1989,Male,5.13,4.74,5.55
584,Marshall Islands,1989,Total,4.93,4.19,5.80
584,Marshall Islands,1989,Female,4.46,3.75,5.28
584,Marshall Islands,1989,Male,5.37,4.54,6.36
807,North Macedonia,1989,Total,4.00,3.89,4.11
807,North Macedonia,1989,Female,3.77,3.62,3.92
807,North Macedonia,1989,Male,4.22,4.07,4.38
466,Mali,1989,Total,23.64,22.24,25.12
466,Mali,1989,Female,22.76,21.39,24.22
466,Mali,1989,Male,24.46,22.99,26.04
470,Malta,1989,Total,1.18,1.10,1.26
470,Malta,1989,Female,1.07,0.98,1.15
470,Malta,1989,Male,1.28,1.19,1.39
104,Myanmar,1989,Total,11.78,10.77,12.95
104,Myanmar,1989,Female,10.96,9.96,12.12
104,Myanmar,1989,Male,12.58,11.44,13.86
499,Montenegro,1989,Total,1.75,1.66,1.83
499,Montenegro,1989,Female,1.64,1.55,1.74
499,Montenegro,1989,Male,1.85,1.75,1.95
496,Mongolia,1989,Total,11.23,10.33,12.22
496,Mongolia,1989,Female,9.85,9.01,10.76
496,Mongolia,1989,Male,12.55,11.50,13.70
508,Mozambique,1989,Total,24.87,22.80,27.09
508,Mozambique,1989,Female,23.91,21.88,26.12
508,Mozambique,1989,Male,25.75,23.55,28.11
478,Mauritania,1989,Total,11.95,10.87,13.15
478,Mauritania,1989,Female,11.11,10.07,12.28
478,Mauritania,1989,Male,12.75,11.55,14.08
500,Montserrat,1989,Total,1.80,1.34,2.39
500,Montserrat,1989,Female,1.88,1.40,2.50
500,Montserrat,1989,Male,1.72,1.28,2.28
480,Mauritius,1989,Total,2.49,2.39,2.60
480,Mauritius,1989,Female,2.17,2.06,2.28
480,Mauritius,1989,Male,2.80,2.67,2.93
454,Malawi,1989,Total,25.10,23.67,26.56
454,Malawi,1989,Female,23.90,22.50,25.34
454,Malawi,1989,Male,26.25,24.73,27.84
458,Malaysia,1989,Total,1.74,1.69,1.80
458,Malaysia,1989,Female,1.56,1.46,1.65
458,Malaysia,1989,Male,1.92,1.82,2.02
516,Namibia,1989,Total,7.50,6.80,8.28
516,Namibia,1989,Female,6.98,6.29,7.74
516,Namibia,1989,Male,8.00,7.23,8.86
562,Niger,1989,Total,33.65,31.51,35.87
562,Niger,1989,Female,33.48,31.31,35.77
562,Niger,1989,Male,33.81,31.59,36.14
566,Nigeria,1989,Total,20.96,19.61,22.41
566,Nigeria,1989,Female,19.84,18.52,21.26
566,Nigeria,1989,Male,22.02,20.58,23.60
558,Nicaragua,1989,Total,6.99,6.49,7.57
558,Nicaragua,1989,Female,6.38,5.90,6.93
558,Nicaragua,1989,Male,7.58,7.02,8.21
570,Niue,1989,Total,2.47,2.08,2.91
570,Niue,1989,Female,2.20,1.83,2.63
570,Niue,1989,Male,2.72,2.29,3.23
528,Netherlands (Kingdom of the),1989,Total,0.86,0.85,0.88
528,Netherlands (Kingdom of the),1989,Female,0.75,0.73,0.77
528,Netherlands (Kingdom of the),1989,Male,0.97,0.95,0.99
578,Norway,1989,Total,0.93,0.90,0.96
578,Norway,1989,Female,0.81,0.78,0.85
578,Norway,1989,Male,1.04,1.00,1.08
524,Nepal,1989,Total,14.58,13.71,15.54
524,Nepal,1989,Female,14.51,13.61,15.51
524,Nepal,1989,Male,14.65,13.75,15.63
520,Nauru,1989,Total,7.06,5.41,9.14
520,Nauru,1989,Female,6.50,4.97,8.49
520,Nauru,1989,Male,7.57,5.80,9.84
554,New Zealand,1989,Total,1.18,1.15,1.21
554,New Zealand,1989,Female,1.03,1.00,1.07
554,New Zealand,1989,Male,1.32,1.28,1.36
512,Oman,1989,Total,4.31,3.77,4.92
512,Oman,1989,Female,3.95,3.44,4.55
512,Oman,1989,Male,4.65,4.05,5.32
586,Pakistan,1989,Total,14.25,13.73,14.80
586,Pakistan,1989,Female,13.91,13.34,14.50
586,Pakistan,1989,Male,14.57,13.99,15.18
591,Panama,1989,Total,3.23,2.83,3.60
591,Panama,1989,Female,2.90,2.51,3.27
591,Panama,1989,Male,3.54,3.09,3.98
604,Peru,1989,Total,8.46,8.04,8.91
604,Peru,1989,Female,8.03,7.60,8.48
604,Peru,1989,Male,8.87,8.41,9.37
608,Philippines,1989,Total,6.01,5.61,6.44
608,Philippines,1989,Female,5.42,5.04,5.84
608,Philippines,1989,Male,6.56,6.12,7.06
585,Palau,1989,Total,3.59,3.06,4.18
585,Palau,1989,Female,3.20,2.71,3.77
585,Palau,1989,Male,3.95,3.36,4.63
598,Papua New Guinea,1989,Total,8.65,7.87,9.52
598,Papua New Guinea,1989,Female,8.21,7.42,9.06
598,Papua New Guinea,1989,Male,9.08,8.21,10.02
616,Poland,1989,Total,1.79,1.75,1.83
616,Poland,1989,Female,1.55,1.52,1.59
616,Poland,1989,Male,2.01,1.96,2.06
408,Democratic People's Republic of Korea,1989,Total,3.95,3.09,5.06
408,Democratic People's Republic of Korea,1989,Female,3.57,2.77,4.60
408,Democratic People's Republic of Korea,1989,Male,4.31,3.37,5.53
620,Portugal,1989,Total,1.59,1.56,1.62
620,Portugal,1989,Female,1.41,1.37,1.44
620,Portugal,1989,Male,1.76,1.72,1.81
600,Paraguay,1989,Total,4.73,4.26,5.24
600,Paraguay,1989,Female,4.33,3.88,4.84
600,Paraguay,1989,Male,5.10,4.57,5.68
275,"occupied Palestinian territory, including east Jerusalem",1989,Total,4.73,4.38,5.11
275,"occupied Palestinian territory, including east Jerusalem",1989,Female,4.48,4.12,4.88
275,"occupied Palestinian territory, including east Jerusalem",1989,Male,4.96,4.56,5.38
634,Qatar,1989,Total,2.23,2.06,2.40
634,Qatar,1989,Female,2.04,1.87,2.22
634,Qatar,1989,Male,2.40,2.21,2.61
642,Romania,1989,Total,3.30,3.22,3.38
642,Romania,1989,Female,2.94,2.86,3.01
642,Romania,1989,Male,3.64,3.55,3.73
643,Russian Federation,1989,Total,2.20,2.16,2.24
643,Russian Federation,1989,Female,1.86,1.83,1.90
643,Russian Federation,1989,Male,2.52,2.47,2.57
646,Rwanda,1989,Total,14.60,13.70,15.54
646,Rwanda,1989,Female,13.68,12.83,14.62
646,Rwanda,1989,Male,15.46,14.48,16.48
682,Saudi Arabia,1989,Total,4.79,4.04,5.82
682,Saudi Arabia,1989,Female,4.59,3.85,5.60
682,Saudi Arabia,1989,Male,4.98,4.19,6.06
729,Sudan,1989,Total,13.41,12.42,14.50
729,Sudan,1989,Female,12.59,11.63,13.65
729,Sudan,1989,Male,14.19,13.11,15.39
686,Senegal,1989,Total,14.24,13.51,14.97
686,Senegal,1989,Female,13.49,12.76,14.22
686,Senegal,1989,Male,14.95,14.17,15.74
702,Singapore,1989,Total,0.85,0.81,0.88
702,Singapore,1989,Female,0.78,0.74,0.81
702,Singapore,1989,Male,0.91,0.87,0.95
